PLACEHOLDER_230876821,Fraud Scam Likely,,
PLACEHOLDER_356153613,Spam Likely,,https://cdn-icons-png.freepik.com/512/15188/15188784.png?fd=1&filename=candidate-selection_15188784.png
PLACEHOLDER_1011744953,Telemarketing,,
PLACEHOLDER_793458724,Robocall,,
PLACEHOLDER_843169642,Delivery,,
PLACEHOLDER_180350135,Takeaway,,
PLACEHOLDER_200648361,Ridesharing,,
PLACEHOLDER_708426902,Insurance,,
PLACEHOLDER_141771649,Loan,,
PLACEHOLDER_543608806,Customer Service,,
PLACEHOLDER_957476573,Unknown,,
PLACEHOLDER_784715545,Financial,,
PLACEHOLDER_548370808,Bank,,
PLACEHOLDER_101947622,Education,,
PLACEHOLDER_274049943,Medical,,
PLACEHOLDER_35600625,Charity,,
PLACEHOLDER_914338153,Other,,
PLACEHOLDER_9908508,Collection,,
PLACEHOLDER_912447930,Survey,,
PLACEHOLDER_277634848,Political,,
PLACEHOLDER_31460603,Ecommerce,,
PLACEHOLDER_80551506,Risk,,
